sim_sec,kind,id,dsd_no,sc_no,link,lane,speed_kph,major_green,minor_green,offset,rate_vph,green_sec,metadata,readback
1,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
1,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
1,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
1,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
1,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
1,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
1,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
1,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
1,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
1,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
1,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
1,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
1,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
1,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
1,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
1,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
1,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
1,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
1,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
1,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
1,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
1,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
1,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
1,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
1,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
1,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
1,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
180,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
180,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
180,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
180,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
180,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
180,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
180,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
180,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
180,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
180,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
180,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
180,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
180,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
180,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
180,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
180,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
180,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
180,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
180,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
180,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
180,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
180,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
180,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
180,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
180,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
180,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
180,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
360,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
360,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
360,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
360,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
360,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
360,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
360,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
360,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
360,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
360,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
360,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
360,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
360,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
360,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
360,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
360,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
360,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
360,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
360,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
360,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
360,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
360,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
360,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
360,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
360,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
360,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
360,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
540,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
540,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
540,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
540,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
540,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
540,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
540,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
540,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
540,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
540,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
540,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
540,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
540,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
540,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
540,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
540,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
540,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
540,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
540,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
540,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
540,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
540,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
540,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
540,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
540,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
540,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
540,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
720,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
720,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
720,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
720,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
720,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
720,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
720,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
720,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
720,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
720,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
720,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
720,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
720,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
720,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
720,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
720,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
720,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
720,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
720,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
720,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
720,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
720,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
720,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
720,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
720,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
720,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
720,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
900,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
900,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
900,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
900,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
900,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
900,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
900,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
900,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
900,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
900,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
900,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
900,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
900,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
900,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
900,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
900,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
900,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
900,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
900,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
900,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
900,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
900,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
900,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
900,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
900,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
900,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
900,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
1080,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
1080,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
1080,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
1080,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
1080,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
1080,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
1080,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
1080,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
1080,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
1080,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
1080,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
1080,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
1080,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
1080,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
1080,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
1080,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
1080,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
1080,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
1080,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
1080,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
1080,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
1080,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
1080,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
1080,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
1080,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
1080,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
1080,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
1260,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
1260,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
1260,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
1260,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
1260,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
1260,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
1260,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
1260,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
1260,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
1260,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
1260,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
1260,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
1260,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
1260,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
1260,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
1260,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
1260,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
1260,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
1260,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
1260,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
1260,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
1260,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
1260,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
1260,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
1260,signal,F,,5,,,,57.0,57.0,0.0,,,ok,stored
1260,ramp_meter,D,,6,,,,,,,1414.0,10.0,ok,stored
1260,ramp_meter,F,,7,,,,,,,237.073,10.0,ok,stored
1440,vsl,EB_S0_W_EXT_ENTRY,1,,35,1,120.0,,,,,,ok,120
1440,vsl,EB_S0_W_EXT_ENTRY,2,,35,2,120.0,,,,,,ok,120
1440,vsl,EB_S1_W_APPROACH,3,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S1_W_APPROACH,4,,33,2,120.0,,,,,,ok,120
1440,vsl,EB_S2_D_DIVERGE,5,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S2_D_DIVERGE,6,,33,2,120.0,,,,,,ok,120
1440,vsl,EB_S3_D_MERGE,7,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S3_D_MERGE,8,,33,2,120.0,,,,,,ok,120
1440,vsl,EB_S4_F_DIVERGE,9,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S4_F_DIVERGE,10,,33,2,120.0,,,,,,ok,120
1440,vsl,EB_S5_F_MERGE,11,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S5_F_MERGE,12,,33,2,120.0,,,,,,ok,120
1440,vsl,EB_S6_POST_F,13,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S6_POST_F,14,,33,2,120.0,,,,,,ok,120
1440,vsl,EB_S7_E_EXIT,15,,33,1,120.0,,,,,,ok,120
1440,vsl,EB_S7_E_EXIT,16,,33,2,120.0,,,,,,ok,120
1440,vsl,WB_S0_E_EXT_ENTRY,17,,37,1,120.0,,,,,,ok,120
1440,vsl,WB_S0_E_EXT_ENTRY,18,,37,2,120.0,,,,,,ok,120
1440,vsl,WB_S1_E_APPROACH,19,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S1_E_APPROACH,20,,34,2,120.0,,,,,,ok,120
1440,vsl,WB_S2_F_DIVERGE,21,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S2_F_DIVERGE,22,,34,2,120.0,,,,,,ok,120
1440,vsl,WB_S3_F_MERGE,23,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S3_F_MERGE,24,,34,2,120.0,,,,,,ok,120
1440,vsl,WB_S4_D_DIVERGE,25,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S4_D_DIVERGE,26,,34,2,120.0,,,,,,ok,120
1440,vsl,WB_S5_D_MERGE,27,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S5_D_MERGE,28,,34,2,120.0,,,,,,ok,120
1440,vsl,WB_S6_POST_D,29,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S6_POST_D,30,,34,2,120.0,,,,,,ok,120
1440,vsl,WB_S7_W_EXIT,31,,34,1,120.0,,,,,,ok,120
1440,vsl,WB_S7_W_EXIT,32,,34,2,120.0,,,,,,ok,120
1440,signal,A,,1,,,,57.0,57.0,0.0,,,ok,stored
1440,signal,B,,2,,,,57.0,57.0,0.0,,,ok,stored
1440,signal,C,,3,,,,57.0,57.0,0.0,,,ok,stored
1440,signal,D,,4,,,,57.0,57.0,0.0,,,ok,stored
